"Path","Method","Name","File","Line"
"/admin/get-present-users-for-date","GET","admin.getPresentUsersForDate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","738"
"/allocations","GET","allocations","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","835"
"/allocations/index","GET","allocations.index","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","836"
"/analytics","GET","analytics","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","1091"
"/analytics/attendance","GET","analytics.attendance","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","406"
"/analytics/performance","GET","analytics.performance","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","407"
"/analytics/recruitment","GET","analytics.recruitment","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","408"
"/analytics/reports","GET","analytics.reports","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","411"
"/analytics/reports/generate","POST","analytics.reports.generate","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","412"
"/analytics/training","GET","analytics.training","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","410"
"/analytics/turnover","GET","analytics.turnover","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","409"
"/anomalies","GET","anomalies","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","907"
"/anomalies/{anomaly}/resolve","POST","anomalies.resolve","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","908"
"/api/departments/list","GET","","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","889"
"/api/designations/list","GET","","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","885"
"/assign","POST","assign","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","554"
"/attendance","GET","attendance","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","725"
"/attendance/adjustments","GET","attendance.adjustments","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","730"
"/attendance/attendance-today","GET","attendance.current-user-punch","d:\laragon\www\Aero-Enterprise-Suite-Saas\packages\aero-hrm\routes\web.php","575"
